Name,posX,posY,posZ
GameObject,628.17,7.95,0
DeathSmoke,134.53,-16.92863,0
CarGhost,424.872,-13.9,0
CarGhost,543.31,-5.4,0
Poltergeist,552.01,0.9299998,0
CarGhost,188.5,-11.17384,0
CarGhost,460.7333,-20.7,0
RushGhost,581.5,7.3,0
DeathSmoke,299.73,-17.54863,0
Poltergeist,538.13,-2.27,0
CarGhost,66.08,-7.36,0
CarGhost,75.49458,-10.82384,0
CarGhost,531.77,-8.27,0
DeathSmoke,350.81,-20.98863,0
RushGhost,113.7519,-7.313841,0
DeathSmoke,285.18,-18.18863,0
Poltergeist,603.95,8.708338,0
DeathSmoke,333.37,-20.99863,0
CarGhost,480.5426,-20.71,0
DeathSmoke,316.41,-21.22863,0
Poltergeist,259.4206,-12.45212,0
CarGhost,129.2091,-14.36384,0
NormalGhost,419.7,-9.413841,0
CarGhost,560.8617,-1.35,0
DeathSmoke,553.35,-6.748627,0
Poltergeist,402.09,-7.6,0
CarGhost,205.6176,-12.50384,0
NormalGhost,379.62,-12.86,0
DeathSmoke,527.5,-12.94863,0
NormalGhost,137.1,-10.2,0
NormalGhost,475.75,-16.71384,0
NormalGhost,468.74,-14.85384,0
Poltergeist,571.18,6.25,0
DeathSmoke,282.86,-20.14863,0
Poltergeist,545.22,-3.7,0
Poltergeist,508.52,-10.49,0
NormalGhost,447.07,-14.2,0
NormalGhost,458.95,-15.04384,0
CarGhost,165.23,-12.60384,0
DeathSmoke,157.21,-15.74863,0
NormalGhost,437.9,-12.7,0
NormalGhost,45.56999,3.84,0
CarGhost,388.93,-12.66,0
DeathSmoke,266.18,-19.54863,0
Poltergeist,508.52,-10.49,0
CarGhost,96.72,-12.15384,0
DeathSmoke,432.2334,-18.48,0
NormalGhost,26.63,3.84,0
CarGhost,239.3797,-15.61384,0
RushGhost,218.98,-6.1,0
CarGhost,570.8,0.8461585,0
CarGhost,498.7755,-16.08,0
Poltergeist,276.3,-12.6,0
Poltergeist,234.3,-9.313841,0
CarGhost,51.90001,-2.81,0
NormalGhost,57.29192,1.396158,0
CarGhost,342.1823,-17.03384,0
CarGhost,584.564,3.33,0
NormalGhost,484.6776,-16.77,0
Poltergeist,367.65,-13.02,0
CarGhost,474.88,-20.95,0
DeathSmoke,101.09,-14.38863,0
Poltergeist,517.62,-7.73,0
CarGhost,143.0519,-14.33384,0
Poltergeist,562.42,3.61,0
Poltergeist,184.2,-7.413841,0
NormalGhost,430.6,-8.3,0
NormalGhost,297.0519,-15.31,0
CarGhost,519.4231,-11.46,0
NormalGhost,155.7547,-8.803842,0
RushGhost,594.1,8.31,0
NormalGhost,367.5391,-14.53,0
CarGhost,598.5358,4.859998,0
DeathSmoke,368.41,-18.43863,0
Poltergeist,304.21,-13.25,0
NormalGhost,38.75999,1.08,0
RushGhost,86.55191,-7.613842,0
NormalGhost,125.1,-13.00384,0
CarGhost,441.67,-17.62,0
Paladin,8.480011,0.6800013,0
Paladin,246.6684,-13.91399,0
Paladin,405.9684,-8.363978,0
Paladin,118.4784,-13.18399,0
